Product Name,Genes,Component coefficients,Gene products (polypeptides and RNAs only)
CPLX-7781,YOL143C,YOL143C-MONOMER : 5,YOL143C-MONOMER
3-Methyl-2-Oxobut-Dehydrogenases,,,
Branched-chain-2-keto-acid-deHase,,,
Cit-Ly,,,
Cysteine-Desulfurylases,,,
Nitrogen-reductases,,,
DsrC-sulfur-carrier-proteins,,,
CPX-1806, YPL194W; YLR288C; YOR368W, YPL194W-MONOMER : 1; YLR288C-MONOMER : 1 ;  YOR368W-MONOMER : 1,YPL194W-MONOMER ; YLR288C-MONOMER ; YOR368W-MONOMER
CPX-1850,YER090W ; YKL211C; YKL211C-TEST, YER090W-MONOMER : 2 ; YKL211C-MONOMER-TEST : 1,YER090W-MONOMER ; YKL211C-MONOMER-TEST
CPLX3O-10520,YOL052C,MONOMER3O-32362 : 1 ;  MONOMER3O-32361 : 1,MONOMER-20234 ; MONOMER3O-32362 ; MONOMER3O-32361
